state_name,iso_code,mmsi_mid_prefixes,risk_category,registry_status,issue_summary,source_primary,source_url,last_verified,active
Sint Maarten,SX,,B,fraud_notice,Jurisdiktion wurde in IMO-/Fachberichten zu False-Flag- bzw. Fraud-Registry-Missbrauch genannt. Kein automatischer False-Flag-Beweis; Prüfansatz für Registry-/Certificate-Check.,IMO / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Aruba,AW,307,B,fraud_notice,Jurisdiktion wurde in IMO-/Fachberichten zu False-Flag- bzw. Fraud-Registry-Missbrauch genannt. Kein automatischer False-Flag-Beweis; Prüfansatz für Registry-/Certificate-Check.,IMO / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Curacao,CW,306,B,fraud_notice,Jurisdiktion wurde in IMO-/Fachberichten zu False-Flag- bzw. Fraud-Registry-Missbrauch genannt. Kein automatischer False-Flag-Beweis; Prüfansatz für Registry-/Certificate-Check.,IMO / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Botswana,BW,,A,no_intl_registry,Harter False-Flag-Prüfansatz: Staat ohne belastbar nutzbares internationales Schiffsregister bzw. in Fachberichten zu missbräuchlicher Flaggenführung genannt.,IMO / Lloyds List reporting,https://www.imo.org/en/mediacentre/Pages/WhatsNew-1704.aspx,2026-06-17,true
Mali,ML,660,A,no_intl_registry,Harter False-Flag-Prüfansatz: Staat ohne belastbar nutzbares internationales Schiffsregister bzw. in Fachberichten zu missbräuchlicher Flaggenführung genannt.,IMO / Lloyds List reporting,https://www.imo.org/en/mediacentre/Pages/WhatsNew-1704.aspx,2026-06-17,true
Guinea,GN,632,A,no_intl_registry,Harter False-Flag-Prüfansatz: Staat ohne belastbar nutzbares internationales Schiffsregister bzw. in Fachberichten zu missbräuchlicher Flaggenführung genannt.,IMO / Lloyds List reporting,https://www.imo.org/en/mediacentre/Pages/WhatsNew-1704.aspx,2026-06-17,true
Malawi,MW,650,A,no_intl_registry,Harter False-Flag-Prüfansatz: Malawi wurde als Staat ohne internationales Flagging bzw. mit fraudulent-use-Hinweisen berichtet.,ISS Africa / IMO reporting,https://issafrica.org/iss-today/african-ship-registries-a-safe-harbour-for-shadow-fleets,2026-06-17,true
Eswatini,SZ,669,A,no_intl_registry,Harter False-Flag-Prüfansatz: Berichte nennen Eswatini als Staat ohne Flaggenregister; gemeldete Eswatini-Flaggen wurden als falsch behandelt.,ISS Africa / IMO reporting,https://issafrica.org/iss-today/african-ship-registries-a-safe-harbour-for-shadow-fleets,2026-06-17,true
Democratic Republic of the Congo,CD,676,A,fraud_notice,"Harter False-Flag-Prüfansatz: DRC meldete bei IMO eine größere Zahl von Schiffen, die die Flagge betrügerisch nutzten.",IMO,https://www.imo.org/en/ourwork/legal/pages/registration-of-ships-and-fraudulent-registration-matters.aspx,2026-06-17,true
Zimbabwe,ZW,679,A,fraud_notice,Harter False-Flag-Prüfansatz: Jurisdiktion in Fachberichten zu fraudulent registries/false flags genannt.,Lloyds List / IMO reporting,https://www.lloydslist.com/LL1156396/Flag-states-rush-to-flush-out-fake-registries-in-buildup-to-IMO-meeting,2026-06-17,true
Tonga,TO,570,A,fraud_notice,Harter False-Flag-Prüfansatz: Jurisdiktion in Fachberichten zu fraudulent registries/false flags genannt; Einzelfallprüfung erforderlich.,Lloyds List / IMO reporting,https://www.lloydslist.com/LL1156396/Flag-states-rush-to-flush-out-fake-registries-in-buildup-to-IMO-meeting,2026-06-17,true
Madagascar,MG,647,B,historical_abuse,"Historische Missbrauchs- oder False-Flag-Hinweise; kein automatischer Beweis, aber enger Registry-/Certificate-Check.",IMO / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Cameroon,CM,613,B,open_registry_exploited,"Weicher Prüfansatz: offenes/zugängliches Register, aber im Kontext russischer Schattenflotte auffällig genutzt; auch Registry-Cleanup-/Ausschlussfälle berichtet.",KSE / Safety4Sea / Lloyds List reporting,https://kse.ua/about-the-school/news/russian-shadow-fleet-tracker-may-2026-the-russian-flags-share-of-shadow-fleet-volumes-rose-to-23/,2026-06-17,true
Comoros,KM,616,B,open_registry_exploited,Weicher Prüfansatz: offenes/zugängliches Register mit berichteter Schattenflottennutzung; kein automatischer False-Flag-Beweis.,ADF Magazine / reporting,https://adf-magazine.com/2026/05/russias-shadow-fleet-exploits-african-shipping-registries-to-skirt-sanctions/,2026-06-17,true
Gabon,GA,626,B,open_registry_exploited,Weicher Prüfansatz: Register/Registry-Operator im Kontext Sanktionsumgehung und Schattenflotte auffällig; kein automatischer False-Flag-Beweis.,United24 / reporting,https://united24media.com/world/why-are-so-many-tankers-suddenly-flying-african-flags-follow-russias-oil-money-19090,2026-06-17,true
Djibouti,DJ,621,B,open_registry_exploited,Weicher Prüfansatz: stark gewachsene bzw. auffällig genutzte Registrierung im Schattenflottenkontext; kein automatischer False-Flag-Beweis.,United24 / reporting,https://united24media.com/world/why-are-so-many-tankers-suddenly-flying-african-flags-follow-russias-oil-money-19090,2026-06-17,true
Sierra Leone,SL,667,B,open_registry_exploited,Weicher Prüfansatz: Flagge häufig in älteren/risikobehafteten Tanker- und Schattenflottenkontexten; Einzelfallprüfung erforderlich.,Analyst heuristic / public sanctions reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Gambia,GM,607,B,open_registry_exploited,Weicher Prüfansatz: Flagge/Registry im Schattenflottenkontext und Flag-Hopping-Fällen berichtet; Einzelfallprüfung erforderlich.,Lloyds List reporting,https://www.lloydslist.com/LL1157457/UK-seizes-shadow-fleet-tanker-expelled-from-Cameroon-registry,2026-06-17,true
Palau,PW,511,B,open_registry_exploited,"Weicher Prüfansatz: kleines/offenes Register, wiederholt in Risikofällen/Flag-Hopping beobachtet; kein automatischer False-Flag-Beweis.",Analyst heuristic / sanctions reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Cook Islands,CK,518,B,open_registry_exploited,"Weicher Prüfansatz: offenes Register, in Flag-Hopping-/Sanktionsrisikokontexten beobachtet; kein automatischer False-Flag-Beweis.",Analyst heuristic / sanctions reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Saint Kitts and Nevis,KN,341,B,open_registry_exploited,"Weicher Prüfansatz: offenes Register, in Risiko- und Flag-Hopping-Kontexten beobachtet; kein automatischer False-Flag-Beweis.",Analyst heuristic / sanctions reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Belize,BZ,312,C,open_registry_broad,Breiter Prüfansatz: offenes Register; nur in Verbindung mit weiteren Indikatoren stärker gewichten.,Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Barbados,BB,314,C,open_registry_broad,Breiter Prüfansatz: offenes/zugängliches Register; nur in Verbindung mit weiteren Indikatoren stärker gewichten.,Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Panama,PA,351;352;353;354;355;356;357;370;371;372;373,C,open_registry_broad,"Breiter Prüfansatz: großes offenes Register; für sich allein niedriger Signalwert, mit Schattenflotte/Flag-Hopping/Portcall aber relevant.",Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Liberia,LR,636,C,open_registry_broad,"Breiter Prüfansatz: großes offenes Register; für sich allein niedriger Signalwert, mit weiteren Indikatoren aber relevant.",Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Marshall Islands,MH,538,C,open_registry_broad,"Breiter Prüfansatz: großes offenes Register; für sich allein niedriger Signalwert, mit weiteren Indikatoren aber relevant.",Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Guyana,GY,750,B,open_registry_exploited,Weicher Prüfansatz: kleine Flagge/Registry im Flag-Hopping-/Risikokontext; Einzelfallprüfung erforderlich.,Analyst heuristic / sanctions reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Tanzania,TZ,677,B,open_registry_exploited,Weicher Prüfansatz: Flagge in Risikokontexten beobachtet; kein automatischer False-Flag-Beweis.,Analyst heuristic / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Togo,TG,671,B,open_registry_exploited,Weicher Prüfansatz: Flagge in Risikokontexten beobachtet; kein automatischer False-Flag-Beweis.,Analyst heuristic / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Sao Tome and Principe,ST,668,B,open_registry_exploited,Weicher Prüfansatz: kleine Flagge/Registry im Flag-Hopping-/Risikokontext; Einzelfallprüfung erforderlich.,Analyst heuristic / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
